model,scenario_id,tier,variant,feasible,success,booked,over_budget,wrong_trip,gave_final_answer,llm_calls,tool_calls,tool_errors,parse_failures,gen_tokens,wall_time_s,total_cost,budget,cost_optimality
Qwen2.5-3B,ber-lis-4n-tight,tight,clean,True,False,True,True,False,False,8,8,0,0,582,19.04,551.0,380,
Qwen2.5-3B,ber-lis-4n-tight,tight,paraphrase,True,False,True,True,False,True,4,3,0,0,190,6.26,1094.0,380,
Qwen2.5-3B,ber-lis-4n-tight,tight,noisy,True,False,True,True,False,True,5,3,0,1,621,19.13,962.0,380,
Qwen2.5-3B,ber-lis-4n-generous,generous,clean,True,False,True,True,False,False,8,8,0,0,929,31.05,1001.0,840,
Qwen2.5-3B,ber-lis-4n-generous,generous,paraphrase,True,False,True,True,False,True,4,3,0,0,174,5.83,986.0,840,
Qwen2.5-3B,ber-lis-4n-generous,generous,noisy,True,False,False,False,False,True,3,2,0,0,342,10.57,,840,
Qwen2.5-3B,mun-bar-3n-tight,tight,clean,True,False,True,True,False,True,4,3,0,0,180,6.7,273.0,180,
Qwen2.5-3B,mun-bar-3n-tight,tight,paraphrase,True,False,True,True,False,True,4,3,0,0,163,5.62,273.0,180,
Qwen2.5-3B,mun-bar-3n-tight,tight,noisy,True,False,True,True,False,True,5,3,0,1,567,18.82,207.0,180,
Qwen2.5-3B,mun-bar-3n-medium,medium,clean,True,False,True,True,False,True,4,3,0,0,165,5.74,273.0,240,
Qwen2.5-3B,mun-bar-3n-medium,medium,paraphrase,True,False,True,True,False,True,4,3,0,0,180,6.41,273.0,240,
Qwen2.5-3B,mun-bar-3n-medium,medium,noisy,True,True,True,False,False,True,5,3,0,1,567,17.67,207.0,240,0.768
Qwen2.5-3B,ham-rom-5n-medium,medium,clean,True,True,True,False,False,True,4,3,0,0,210,6.44,369.0,540,0.973
Qwen2.5-3B,ham-rom-5n-medium,medium,paraphrase,True,True,True,False,False,True,4,3,0,0,162,6.12,369.0,540,0.973
Qwen2.5-3B,ham-rom-5n-medium,medium,noisy,True,True,True,False,False,True,4,3,0,0,261,8.94,369.0,540,0.973
Qwen2.5-3B,ham-rom-5n-generous,generous,clean,True,True,True,False,False,True,4,3,0,0,211,6.82,364.0,900,0.986
Qwen2.5-3B,ham-rom-5n-generous,generous,paraphrase,True,True,True,False,False,True,4,3,0,0,158,5.17,364.0,900,0.986
Qwen2.5-3B,ham-rom-5n-generous,generous,noisy,True,True,True,False,False,True,4,3,0,0,237,8.59,364.0,900,0.986
Qwen2.5-3B,ber-lis-4n-infeasible,infeasible,clean,False,False,True,True,False,True,7,6,0,0,484,17.07,986.0,170,
Qwen2.5-3B,ber-lis-4n-infeasible,infeasible,paraphrase,False,False,True,True,False,True,4,3,0,0,184,5.7,986.0,170,
Qwen2.5-3B,ber-lis-4n-infeasible,infeasible,noisy,False,False,True,True,False,True,5,3,0,1,551,18.39,962.0,170,
Falcon3-3B,ber-lis-4n-tight,tight,clean,True,False,False,False,False,True,1,0,0,0,76,1.74,,380,
Falcon3-3B,ber-lis-4n-tight,tight,paraphrase,True,False,False,False,False,True,1,0,0,0,23,0.59,,380,
Falcon3-3B,ber-lis-4n-tight,tight,noisy,True,False,False,False,False,True,2,1,0,0,251,4.7,,380,
Falcon3-3B,ber-lis-4n-generous,generous,clean,True,False,False,False,False,True,1,0,0,0,57,0.91,,840,
Falcon3-3B,ber-lis-4n-generous,generous,paraphrase,True,False,False,False,False,True,1,0,0,0,23,0.38,,840,
